match_id,home_team,away_team,home_score,away_score,match_date,eu_home_odds,eu_draw_odds,eu_away_odds,eu_bookmaker,ou_line,ou_over_odds,ou_under_odds,ou_expected_goals,ou_bookmaker,ah_handicap,ah_home_odds,ah_away_odds,ah_bookmaker,kelly_home,kelly_draw,kelly_away,kelly_has_value,hot_cold_home,hot_cold_draw,hot_cold_away,hot_cold_has_value,betfair_home,betfair_draw,betfair_away,betfair_has_value
52,Real Sociedad de Fútbol,Getafe CF,0,1,2026-04-22T18:00:00,2.84,4.06,2.85,Calculated-V2,2.5,1.45,3.82,2.56,Calculated-V2,0.0,1.85,2.05,Calculated-V2,0.029,0.0175,0.0289,True,0.9361,0.8621,1.293,False,0.8179,0.6638,1.0278,True
53,FC Barcelona,RC Celta de Vigo,1,0,2026-04-22T19:30:00,2.2,4.31,3.79,Calculated-V2,3.5,1.42,4.1,3.88,Calculated-V2,-3.0,2.35,1.55,Calculated-V2,0.0435,0.0158,0.0187,True,1.3438,0.7334,1.0618,True,0.7904,0.6808,1.5854,True
54,Levante UD,Sevilla FC,2,0,2026-04-23T17:00:00,2.68,4.11,3.0,Calculated-V2,3.5,1.59,3.11,3.41,Calculated-V2,-0.5,1.9,2.0,Calculated-V2,0.0315,0.017,0.0264,True,1.3397,0.7877,0.8907,True,0.7153,0.8512,1.2078,True
55,Rayo Vallecano de Madrid,RCD Espanyol de Barcelona,1,0,2026-04-23T18:00:00,2.64,4.12,3.05,Calculated-V2,2.75,1.67,2.86,2.71,Calculated-V2,-0.75,1.94,1.96,Calculated-V2,0.0325,0.0171,0.026,True,1.0864,0.8821,1.1134,False,0.9981,0.7168,1.2447,True
56,Real Oviedo,Villarreal CF,1,1,2026-04-23T19:30:00,3.87,4.32,2.17,Calculated-V2,2.0,1.83,2.48,1.93,Calculated-V2,3.0,1.55,2.35,Calculated-V2,0.0181,0.0156,0.0443,True,0.6463,0.6451,1.2878,True,1.0474,0.6578,1.1098,True
57,Real Betis Balompié,Real Madrid CF,1,1,2026-04-24T19:00:00,3.18,4.16,2.53,Calculated-V2,3.5,1.51,3.49,3.61,Calculated-V2,2.25,1.7,2.2,Calculated-V2,0.0241,0.0166,0.0343,True,1.1742,0.6672,1.2122,True,0.8577,0.8124,0.9388,False
58,Deportivo Alavés,RCD Mallorca,2,1,2026-04-25T12:00:00,2.6,4.13,3.09,Calculated-V2,2.5,1.44,3.94,2.6,Calculated-V2,-0.75,1.94,1.96,Calculated-V2,0.0326,0.0167,0.025,True,1.1839,0.8478,1.1124,False,0.9014,1.0379,1.1025,False
59,Getafe CF,FC Barcelona,0,2,2026-04-25T14:15:00,3.94,4.34,2.15,Calculated-V2,3.0,1.77,2.6,3.08,Calculated-V2,3.0,1.55,2.35,Calculated-V2,0.0182,0.016,0.0464,True,0.6752,0.8013,1.6859,True,0.9578,0.5893,0.9129,True
60,Valencia CF,Girona FC,2,1,2026-04-25T16:30:00,2.55,4.16,3.16,Calculated-V2,2.0,1.69,2.8,2.11,Calculated-V2,-1.0,1.97,1.93,Calculated-V2,0.0347,0.017,0.0249,True,1.3554,0.7328,1.2017,True,1.0559,0.7611,1.1809,True
61,Club Atlético de Madrid,Athletic Club,3,2,2026-04-25T19:00:00,2.31,4.25,3.54,Calculated-V2,3.25,2.01,2.2,3.26,Calculated-V2,-3.0,2.35,1.55,Calculated-V2,0.0396,0.016,0.0204,True,1.3754,0.8943,0.9362,False,0.8679,0.8726,1.0431,False
62,Rayo Vallecano de Madrid,Real Sociedad de Fútbol,3,3,2026-04-26T12:00:00,2.85,4.06,2.83,Calculated-V2,3.0,1.8,2.54,3.04,Calculated-V2,-0.5,1.9,2.0,Calculated-V2,0.0281,0.017,0.0284,True,1.1784,0.811,1.2693,False,0.9617,0.7771,1.0646,True
63,Real Oviedo,Elche CF,1,2,2026-04-26T14:15:00,3.42,4.22,2.38,Calculated-V2,2.0,1.8,2.54,1.97,Calculated-V2,1.5,1.85,2.05,Calculated-V2,0.022,0.0165,0.0385,True,1.029,0.8962,1.4395,False,0.9297,0.74,1.2647,True
64,CA Osasuna,Sevilla FC,2,1,2026-04-26T16:30:00,2.66,4.11,3.02,Calculated-V2,2.75,1.66,2.86,2.72,Calculated-V2,-0.25,1.88,2.02,Calculated-V2,0.0315,0.0168,0.0258,True,1.2605,0.9352,1.278,False,1.0073,0.6946,1.0832,True
65,Villarreal CF,RC Celta de Vigo,2,1,2026-04-26T19:00:00,2.43,4.2,3.32,Calculated-V2,3.5,1.4,4.26,3.94,Calculated-V2,-2.25,2.2,1.7,Calculated-V2,0.0362,0.0162,0.0223,True,1.4327,0.763,1.1985,True,1.0022,0.6937,1.3183,True
66,RCD Espanyol de Barcelona,Levante UD,0,0,2026-04-27T19:00:00,2.77,4.08,2.91,Calculated-V2,2.5,1.51,3.46,2.42,Calculated-V2,-0.5,1.9,2.0,Calculated-V2,0.0299,0.0172,0.0277,True,1.4154,0.8357,1.1077,False,0.7868,0.7674,1.1539,True
67,Girona FC,RCD Mallorca,0,1,2026-05-01T19:00:00,2.95,4.09,2.73,Calculated-V2,2.0,1.87,2.4,1.89,Calculated-V2,0.0,1.85,2.05,Calculated-V2,0.0271,0.0171,0.0306,True,1.0496,0.6805,1.227,True,0.9394,0.8498,1.1114,False
68,Villarreal CF,Levante UD,5,1,2026-05-02T12:00:00,2.28,4.27,3.6,Calculated-V2,3.5,1.34,4.88,4.16,Calculated-V2,-3.0,2.35,1.55,Calculated-V2,0.0406,0.0159,0.02,True,1.3035,0.9383,0.9624,False,0.7641,0.8683,1.0185,True
69,Valencia CF,Club Atlético de Madrid,0,2,2026-05-02T14:15:00,3.41,4.22,2.38,Calculated-V2,3.0,1.77,2.6,3.08,Calculated-V2,2.25,1.7,2.2,Calculated-V2,0.0217,0.0162,0.0378,True,1.0071,0.811,1.3848,False,0.855,0.6557,1.3035,True
70,Deportivo Alavés,Athletic Club,2,4,2026-05-02T16:30:00,2.94,4.09,2.73,Calculated-V2,3.25,2.11,2.1,3.15,Calculated-V2,0.0,1.85,2.05,Calculated-V2,0.0266,0.0167,0.0298,True,1.2093,0.9364,1.4117,False,0.9235,0.755,1.2994,True
71,CA Osasuna,FC Barcelona,1,2,2026-05-02T19:00:00,3.98,4.34,2.13,Calculated-V2,3.25,1.95,2.29,3.35,Calculated-V2,3.0,1.55,2.35,Calculated-V2,0.0172,0.0154,0.0454,True,1.0489,0.721,1.5524,True,0.9482,0.7448,1.1495,True
72,RC Celta de Vigo,Elche CF,3,1,2026-05-03T12:00:00,2.51,4.17,3.2,Calculated-V2,3.5,1.5,3.56,3.64,Calculated-V2,-1.25,2.01,1.89,Calculated-V2,0.0343,0.0164,0.0236,True,1.3061,0.9629,0.8392,False,0.9303,0.6331,1.3701,True
73,Getafe CF,Rayo Vallecano de Madrid,0,2,2026-05-03T14:15:00,2.98,4.1,2.7,Calculated-V2,2.5,1.51,3.45,2.42,Calculated-V2,-0.25,1.88,2.02,Calculated-V2,0.0267,0.017,0.0311,True,1.0661,0.7416,1.464,True,0.9819,0.7796,0.9181,True
74,Real Betis Balompié,Real Oviedo,3,0,2026-05-03T16:30:00,2.14,4.34,3.98,Calculated-V2,2.5,1.48,3.64,2.49,Calculated-V2,-3.0,2.35,1.55,Calculated-V2,0.0472,0.0161,0.018,True,1.4084,0.8758,0.8207,False,0.9067,0.8338,1.1387,False
75,RCD Espanyol de Barcelona,Real Madrid CF,0,2,2026-05-03T19:00:00,3.71,4.29,2.24,Calculated-V2,2.5,1.44,3.93,2.6,Calculated-V2,3.0,1.55,2.35,Calculated-V2,0.0198,0.0163,0.0433,True,1.1309,0.858,1.6049,False,0.9254,0.9847,1.3891,False
76,Sevilla FC,Real Sociedad de Fútbol,1,0,2026-05-04T19:00:00,2.76,4.08,2.91,Calculated-V2,2.75,1.65,2.89,2.73,Calculated-V2,-0.25,1.88,2.02,Calculated-V2,0.0292,0.0167,0.0269,True,0.9954,0.8289,1.3409,False,0.9444,0.6298,1.049,True
77,Levante UD,CA Osasuna,3,2,2026-05-08T19:00:00,2.68,4.11,3.0,Calculated-V2,3.5,1.46,3.76,3.73,Calculated-V2,-0.5,1.9,2.0,Calculated-V2,0.0315,0.017,0.0264,True,1.0759,0.7405,1.1675,True,0.9034,0.8128,1.0271,False
78,Elche CF,Deportivo Alavés,1,1,2026-05-09T12:00:00,2.78,4.08,2.9,Calculated-V2,2.75,1.61,3.04,2.82,Calculated-V2,-0.25,1.88,2.02,Calculated-V2,0.0298,0.0172,0.0279,True,1.4076,0.7953,1.0961,True,0.7483,0.6357,1.2707,True
79,Sevilla FC,RCD Espanyol de Barcelona,2,1,2026-05-09T14:15:00,2.68,4.11,3.0,Calculated-V2,2.5,1.52,3.44,2.41,Calculated-V2,-0.25,1.88,2.02,Calculated-V2,0.0315,0.017,0.0264,True,1.4501,0.7695,0.9781,True,0.9679,0.7863,1.0871,True
80,Club Atlético de Madrid,RC Celta de Vigo,0,1,2026-05-09T16:30:00,2.67,4.11,3.01,Calculated-V2,2.75,1.59,3.11,2.86,Calculated-V2,-2.0,2.15,1.75,Calculated-V2,0.0315,0.0169,0.0261,True,1.0268,0.8964,1.023,False,0.9117,0.6223,1.4335,True
81,Real Sociedad de Fútbol,Real Betis Balompié,2,2,2026-05-09T19:00:00,2.98,4.1,2.7,Calculated-V2,3.5,1.55,3.27,3.49,Calculated-V2,1.0,1.93,1.97,Calculated-V2,0.0267,0.017,0.0311,True,0.9081,0.7704,1.4442,True,1.0421,0.7639,1.0884,True
82,RCD Mallorca,Villarreal CF,1,1,2026-05-10T12:00:00,3.39,4.21,2.4,Calculated-V2,2.5,1.44,3.93,2.6,Calculated-V2,2.75,1.6,2.3,Calculated-V2,0.0224,0.0167,0.0382,True,0.951,0.8268,1.3936,False,0.8688,0.6963,1.435,True
83,Athletic Club,Valencia CF,0,1,2026-05-10T14:15:00,2.96,4.1,2.72,Calculated-V2,2.75,1.6,3.08,2.84,Calculated-V2,0.25,2.02,1.88,Calculated-V2,0.0272,0.0172,0.031,True,1.2238,0.8999,1.3663,False,0.8316,0.912,1.0984,False
84,Real Oviedo,Getafe CF,0,0,2026-05-10T16:30:00,3.23,4.17,2.5,Calculated-V2,1.75,1.94,2.3,1.27,Calculated-V2,1.75,1.8,2.1,Calculated-V2,0.0239,0.0168,0.0355,True,1.2438,0.7881,1.1455,True,1.0081,0.7314,1.226,True
85,FC Barcelona,Real Madrid CF,2,0,2026-05-10T19:00:00,2.55,4.15,3.15,Calculated-V2,3.5,1.32,5.25,4.27,Calculated-V2,-1.75,2.1,1.8,Calculated-V2,0.0335,0.0165,0.0242,True,1.4637,0.7195,1.11,True,0.8339,0.7145,1.168,True
86,Rayo Vallecano de Madrid,Girona FC,1,1,2026-05-11T19:00:00,2.66,4.12,3.02,Calculated-V2,2.5,1.49,3.57,2.46,Calculated-V2,-1.25,2.01,1.89,Calculated-V2,0.0318,0.0169,0.0262,True,1.2762,0.6853,0.9364,True,0.9765,0.7983,0.8949,True
87,RC Celta de Vigo,Levante UD,2,3,2026-05-12T17:00:00,2.74,4.09,2.94,Calculated-V2,3.5,1.49,3.6,3.66,Calculated-V2,-1.25,2.01,1.89,Calculated-V2,0.0305,0.0172,0.0274,True,1.194,0.8307,1.2776,False,0.7252,0.7703,1.4245,True
88,Real Betis Balompié,Elche CF,2,1,2026-05-12T18:00:00,2.43,4.2,3.33,Calculated-V2,3.5,1.59,3.12,3.41,Calculated-V2,-2.0,2.15,1.75,Calculated-V2,0.0369,0.0165,0.0226,True,1.4355,0.8537,1.0745,False,0.9204,0.7636,1.3537,True
